Support,Amine 1 or Additive 1,"1°, 2°, 3° Amine Ratio",MW or Mn (g/mol),Organic Content on Adsorbent Basis (%),N Content on Adsorbent Basis (mmol/g),Amine 2 or Additive 2,Additive 3,Amine 2 or Additive 2  to Amine 1 Ratio,Additive 3 to Amine 1 Ratio,OH to N ratio,BET Surface Area of Solid Support (m2g-1),Pore Volume of Solid Support (cm3g-1),Average Pore Diameters (nm),Relative Humidity (%),CO2 Concentration (vol%),Flow Rate (mL/min),Adsorption Time (min),Adsorption Temperature (℃),CO2 Capacity (mmol/g),Amine Efficiency (mmol/mmol),Time to Half Saturation (min),Time to 90% Saturation (min),Desorption Temperature (℃),Weight Loss Stability (%),Capacity Loss Stability (%),Cycle Number,Heat of Adsorption (kJ/mmol),DOI
SBA-15,BPEI,1.81:1.52:1,600,25.00 ,5.83,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,0.72,0.12,17.0,61.0,90,0.103,-1.40,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,25.00 ,5.83,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,0.72,0.12,17.0,61.0,110,0.260,-5.00,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,-5,1.15,0.10,69.6,230.9,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,5,0.90,0.08,26.2,170.3,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,15,1.09,0.09,22.1,122.3,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,1.22,0.10,20.5,131.0,90,0.482,0.50,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,25,1.22,0.10,20.5,131.0,110,0.612,2.12,10,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,35,1.43,0.12,26.4,116.7,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,45,1.59,0.14,29.3,104.0,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
SBA-15,BPEI,1.81:1.52:1,600,50.00 ,11.67,0,0,0.00,0.00,0.00,643,1.14,7.12,0.00 ,0.04,100,350,55,1.35,0.12,18.3,60.6,-,-,-,-,-,https://doi.org/10.1016/j.cej.2021.131875
