MW or Mn (g/mol),Organic Content on Adsorbent Basis (%),N Content on Adsorbent Basis (mmol/g),Amine 2 or Additive 2  to Amine 1 Ratio,OH to N ratio,BET Surface Area of Solid Support (m2g-1),Pore Volume of Solid Support (cm3g-1),Average Pore Diameters (nm),CO2 Concentration (vol%),Flow Rate (mL/min),Adsorption Time (min),Adsorption Temperature (℃),CO2 Capacity (mmol/g),1° Amine,2° Amine,Amine_Density (g/cm³),Amine_Viscosity (mPa·s),Support_Morphology_Cubic,Support_Morphology_Foam-like,Support_Morphology_Hollow Spheres,Support_Morphology_Irregular,Support_Morphology_Mesoporous Carbon,Support_Morphology_Monolith,Support_Morphology_Nanoparticles,Support_Morphology_Octahedral,Support_Morphology_Spherical,Support_Morphology_Spherical Carbon,Support_Morphology_Tubular Hollow,Amine_structure_Linear
305,36.99,8.94,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,40,1.91,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
103,34.82,9.15,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,80,1.48,0.6666666666666666,0.3333333333333333,0.95,20.0,1,0,0,0,0,0,0,0,0,0,0,1
189,65.0,12.47,0.44,0.31,272.0,1.54,28.0,100.0,70.0,100.0,40,5.09,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
189,40.0,8.47,0.0,0.0,854.0,1.98,8.4,100.0,80.0,60.0,75,3.27,0.5,0.5,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
537,10.0,2.34,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,120,0.12,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,48.76,10.7,0.06,0.0,300.0,1.3,17.0,0.04,100.0,1440.0,25,2.26,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,40.0,9.33,0.0,0.0,597.0,1.42,58.0,100.0,60.0,60.0,75,2.89,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
15000,50.0,8.77,0.0,0.0,950.0,1.31,8.01,100.0,100.0,50.0,75,0.43,1.0,0.0,1.08,100.0,0,0,0,0,0,0,0,0,0,0,0,1
103,43.29,11.54,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,80,0.72,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
10000,50.0,11.33,0.0,0.0,621.0,1.21,7.8,100.0,30.0,180.0,75,1.91,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
